code,market_cap,return,sector
AAPL,8.86E+11,0.012412,TECHNOLOGY
ABT,1.43E+11,0.006442,HEALTHCARE
GOLD,2.36E+10,-0.006642,BASIC_MATERIALS
ADSK,3.63E+10,-0.001089,TECHNOLOGY
ADBE,1.37E+11,0.00773,TECHNOLOGY
ADI,3.94E+10,0.058298,TECHNOLOGY
ADM,2.24E+10,0.011875,CONSUMER_DEFENSIVE
AEP,4.39E+10,-0.005807,UTILITIES
AFL,4.05E+10,-0.004033,FINANCIAL_SERVICES
HES,1.74E+10,0.012374,ENERGY
AIG,4.64E+10,0.007749,FINANCIAL_SERVICES
AMAT,4.04E+10,0.039759,TECHNOLOGY
AMD,3.59E+10,0.025301,TECHNOLOGY
AME,1.97E+10,0.008982,INDUSTRIALS
AMGN,1.07E+11,0.000342,HEALTHCARE
AON,4.59E+10,0.003154,FINANCIAL_SERVICES
APD,4.87E+10,-0.00731,BASIC_MATERIALS
APH,2.81E+10,0.010735,TECHNOLOGY
ADP,7.30E+10,0.004493,INDUSTRIALS
AXP,1.02E+11,0.013046,FINANCIAL_SERVICES
AZO,2.73E+10,0.011951,CONSUMER_CYCLICAL
BA,1.99E+11,0.000424,INDUSTRIALS
BAC,2.67E+11,0.020208,FINANCIAL_SERVICES
BAX,3.99E+10,0.007476,HEALTHCARE
BBY,1.74E+10,0.022599,CONSUMER_CYCLICAL
BCE,4.21E+10,-0.001067,COMMUNICATION_SERVICES
BDX,6.48E+10,0.007341,HEALTHCARE
BF.B,2.71E+10,0.01292,CONSUMER_DEFENSIVE
BK,4.30E+10,0.011036,FINANCIAL_SERVICES
BLL,2.22E+10,0.006373,CONSUMER_CYCLICAL
BMY,7.53E+10,-0.016257,HEALTHCARE
BNS,6.44E+10,0.005663,FINANCIAL_SERVICES
BSX,5.76E+10,0.004118,HEALTHCARE
CAT,7.19E+10,0.010287,INDUSTRIALS
CCEP,2.71E+10,0.001736,CONSUMER_DEFENSIVE
C,1.55E+11,0.021852,FINANCIAL_SERVICES
CDNS,1.89E+10,0.024405,TECHNOLOGY
CERN,2.37E+10,-0.000412,TECHNOLOGY
CHD,1.90E+10,-0.008978,CONSUMER_DEFENSIVE
CI,5.94E+10,-0.005525,HEALTHCARE
CL,6.27E+10,-0.01311,CONSUMER_DEFENSIVE
CLX,2.00E+10,0.001086,CONSUMER_DEFENSIVE
CMCSA,1.87E+11,-0.004099,COMMUNICATION_SERVICES
COST,1.13E+11,0.003281,CONSUMER_DEFENSIVE
CP,3.25E+10,-0.010867,INDUSTRIALS
CSCO,2.42E+11,0.008402,TECHNOLOGY
CSX,6.37E+10,0.008201,INDUSTRIALS
CTAS,2.45E+10,0.008637,INDUSTRIALS
CMI,2.57E+10,0.00704,INDUSTRIALS
D,6.05E+10,-0.00554,UTILITIES
DE,4.75E+10,0.0076,INDUSTRIALS
DHR,9.88E+10,0.0032,HEALTHCARE
DIS,2.47E+11,-0.006956,CONSUMER_CYCLICAL
DTE,2.35E+10,-0.002256,UTILITIES
DUK,6.28E+10,-0.009075,UTILITIES
ECL,5.76E+10,0.004327,BASIC_MATERIALS
ED,2.85E+10,-0.012118,UTILITIES
EMR,3.97E+10,0.01508,INDUSTRIALS
EOG,4.94E+10,0.007803,ENERGY
EA,2.84E+10,-0.015055,TECHNOLOGY
ETN,3.36E+10,0.002908,INDUSTRIALS
ETR,1.98E+10,-0.007058,UTILITIES
F,3.92E+10,0.005638,CONSUMER_CYCLICAL
FAST,1.87E+10,0.011779,INDUSTRIALS
FDX,4.22E+10,0.024045,INDUSTRIALS
FISV,3.55E+10,0.00936,INDUSTRIALS
FITB,1.98E+10,0.006711,FINANCIAL_SERVICES
NEE,9.74E+10,-0.005039,UTILITIES
GD,5.01E+10,-0.003506,INDUSTRIALS
GE,8.76E+10,0.007014,INDUSTRIALS
GIB,2.07E+10,-0.00106,TECHNOLOGY
GILD,8.41E+10,0.011628,HEALTHCARE
GIS,3.07E+10,-0.009265,CONSUMER_DEFENSIVE
GLW,2.43E+10,0.012133,TECHNOLOGY
HAL,1.90E+10,0.005545,ENERGY
MNST,3.57E+10,-0.002427,CONSUMER_DEFENSIVE
WELL,3.34E+10,-0.010571,REAL_ESTATE
HD,2.18E+11,0.004158,CONSUMER_CYCLICAL
HRL,2.21E+10,-0.014031,CONSUMER_DEFENSIVE
HRS,2.32E+10,-0.008224,TECHNOLOGY
HSY,2.86E+10,-0.009709,CONSUMER_DEFENSIVE
HUM,3.37E+10,0.003537,HEALTHCARE
HPQ,2.99E+10,0.009645,TECHNOLOGY
IBM,1.19E+11,0.010653,TECHNOLOGY
BIIB,4.43E+10,0.005282,HEALTHCARE
IDXX,2.31E+10,0.01306,HEALTHCARE
IMO,2.11E+10,-0.00328,ENERGY
INTC,2.10E+11,0.016728,TECHNOLOGY
IP,1.74E+10,-0.028025,CONSUMER_CYCLICAL
IR,3.02E+10,-0.000239,INDUSTRIALS
ITW,4.96E+10,0.006879,INDUSTRIALS
JNJ,3.69E+11,0.003248,HEALTHCARE
K,1.86E+10,-0.02179,CONSUMER_DEFENSIVE
KLAC,1.83E+10,0.036445,TECHNOLOGY
KMB,4.63E+10,-0.001631,CONSUMER_DEFENSIVE
KO,2.19E+11,-0.002176,CONSUMER_DEFENSIVE
KR,1.97E+10,0.019223,CONSUMER_DEFENSIVE
LLY,1.11E+11,-0.037441,HEALTHCARE
LOW,7.54E+10,-0.004651,CONSUMER_CYCLICAL
LRCX,2.87E+10,0.024162,TECHNOLOGY
LUV,2.73E+10,-0.00139,INDUSTRIALS
MKC,2.07E+10,-0.00545,CONSUMER_DEFENSIVE
MCD,1.54E+11,-0.020583,CONSUMER_CYCLICAL
MDT,1.31E+11,0.006488,HEALTHCARE
CVS,7.15E+10,0.020401,HEALTHCARE
MFC,3.48E+10,-0.004479,FINANCIAL_SERVICES
SPGI,5.59E+10,0.010949,FINANCIAL_SERVICES
MMC,5.03E+10,0.000101,FINANCIAL_SERVICES
MMM,9.70E+10,0.009963,INDUSTRIALS
MO,9.58E+10,-0.003309,CONSUMER_DEFENSIVE
MSI,2.66E+10,-0.012654,TECHNOLOGY
MRK,2.12E+11,0.000121,HEALTHCARE
MSFT,1.02E+12,0.009132,TECHNOLOGY
MTB,2.29E+10,0.01086,FINANCIAL_SERVICES
MU,3.87E+10,0.028546,TECHNOLOGY
NEM,2.89E+10,-0.011208,BASIC_MATERIALS
NKE,1.30E+11,-0.010071,CONSUMER_CYCLICAL
NOC,5.29E+10,-0.022117,INDUSTRIALS
NSC,5.36E+10,-0.008128,INDUSTRIALS
NTRS,1.92E+10,0.001076,FINANCIAL_SERVICES
ES,2.41E+10,-0.003931,UTILITIES
OKE,2.72E+10,-0.002274,ENERGY
OMC,1.73E+10,-0.008078,CONSUMER_CYCLICAL
ORCL,1.85E+11,0.014085,TECHNOLOGY
OXY,3.58E+10,0.001464,ENERGY
PAYX,3.16E+10,0.002283,INDUSTRIALS
PCAR,2.43E+10,-0.000285,INDUSTRIALS
PEG,3.03E+10,-0.002666,UTILITIES
PEP,1.87E+11,0.000899,CONSUMER_DEFENSIVE
PFE,2.39E+11,0.003029,HEALTHCARE
PG,2.73E+11,-0.00046,CONSUMER_DEFENSIVE
PGR,4.82E+10,-0.007214,FINANCIAL_SERVICES
PH,2.14E+10,0.007552,INDUSTRIALS
PPG,2.70E+10,0.00307,BASIC_MATERIALS
PPL,2.22E+10,-0.010316,UTILITIES
QCOM,8.58E+10,0.027078,TECHNOLOGY
REGN,3.34E+10,-0.007857,HEALTHCARE
ROK,1.88E+10,0.010951,INDUSTRIALS
ROP,3.81E+10,0.005035,INDUSTRIALS
ROST,3.60E+10,-0.008746,CONSUMER_CYCLICAL
RTN,5.24E+10,0.006563,INDUSTRIALS
T,2.33E+11,-0.017549,COMMUNICATION_SERVICES
SBUX,9.92E+10,-0.006669,CONSUMER_CYCLICAL
SCHW,5.78E+10,0.007211,FINANCIAL_SERVICES
SHW,4.35E+10,-0.004979,BASIC_MATERIALS
SLB,4.91E+10,-0.003933,ENERGY
SNPS,1.89E+10,0.018392,TECHNOLOGY
SO,5.67E+10,-0.004569,UTILITIES
TRV,3.91E+10,-0.001471,FINANCIAL_SERVICES
STT,2.14E+10,0.010775,FINANCIAL_SERVICES
STI,2.83E+10,0.016592,FINANCIAL_SERVICES
SYK,7.33E+10,0.009315,HEALTHCARE
SWK,2.11E+10,0.013071,INDUSTRIALS
SYY,3.69E+10,0.003077,CONSUMER_DEFENSIVE
TJX,6.26E+10,-0.005394,CONSUMER_CYCLICAL
